Episode,Loss,Info
0,2.0,260
1,1.8,101
2,1.62,948
3,1.458,324
4,1.3121999999999998,99
5,1.18098,59
6,1.0628819999999999,91
7,0.9565937999999998,61
8,0.8609344199999998,117
9,0.7748409779999998,96
10,0.6973568801999999,35
11,0.6276211921799999,181
12,0.564859072962,64
13,0.5083731656657999,35
14,0.45753584909921985,52
15,0.41178226418929786,27
16,0.3706040377703681,23
17,0.3335436339933313,19
18,0.30018927059399814,19
19,0.27017034353459835,21
20,0.24315330918113842,21
21,0.21883797826302454,19
22,0.19695418043672208,21
23,0.17725876239304994,21
24,0.15953288615374506,21
25,0.14357959753837046,21
26,0.12922163778453344,19
27,0.1162994740060801,23
28,0.10466952660547202,21
29,0.09420257394492482,19
30,0.08478231655043222,21
31,0.07630408489538909,24
32,0.0686736764058502,19
33,0.06180630876526516,22
34,0.055625677888738734,19
35,0.05006311009986497,19
36,0.045056799089878474,21
37,0.040551119180890716,19
38,0.036496007262801555,23
39,0.03284640653652149,25
40,0.029561765882869295,21
41,0.026605589294582455,21
42,0.023945030365124298,19
43,0.021550527328611846,21
44,0.01939547459575075,21
45,0.01745592713617561,19
46,0.01571033442255798,19
47,0.014139300980302139,19
48,0.01272537088227188,21
49,0.011452833794044714,21
50,0.010307550414640154,19
51,0.00927679537317605,21
52,0.0083491158358584,19
53,0.0075142042522724495,19
54,0.0067627838270452045,21
55,0.00608650544434064,19
56,0.005477854899906598,19
57,0.004930069409915916,21
58,0.00443706246892428,19
59,0.003993356222031785,19
60,0.0035940205998286068,25
61,0.003234618539845746,19
62,0.0029111566858612825,21
63,0.0026200410172751987,21
64,0.00235803691554759,21
65,0.002122233223992742,21
66,0.0019100099015934013,19
67,0.0017190089114340612,22
68,0.0015471080202906773,20
69,0.0013923972182616762,19
70,0.0012531574964356196,21
71,0.0011278417467921464,19
72,0.001015057572112843,23
73,0.0009135518149014921,19
74,0.0008221966334114317,19
75,0.0007399769700702219,20
76,0.0006659792730632219,19
77,0.0005993813457569885,19
78,0.0005394432111813785,32
79,0.00048549889006332947,19
80,0.0004369490010569521,21
81,0.0003932541009512569,21
82,0.0003539286908560424,19
83,0.0003185358217705492,21
84,0.00028668223959349426,19
85,0.0002580140156340782,19
86,0.00023221261407058158,23
87,0.00020899135266350122,19
88,0.0001880922173971289,19
89,0.0001692829956574382,19
90,0.000152354696091761,21
91,0.00013711922648251829,21
92,0.00012340730383431087,21
93,0.00011106657345094639,19
94,9.995991610578514e-05,21
95,8.996392449511781e-05,19
96,8.096753204567264e-05,19
97,7.287077884110538e-05,23
98,6.558370095710586e-05,21
99,5.9025330861439684e-05,21
100,5.312279777536233e-05,21
101,4.781051799773728e-05,21
102,4.3029466197941346e-05,19
103,3.8726519578258234e-05,19
104,3.485386762047682e-05,21
105,3.136848085838473e-05,19
106,2.8231632772435233e-05,29
107,2.5408469495280528e-05,19
108,2.286762254577468e-05,25
109,2.0580860291108394e-05,21
110,1.8522774261953145e-05,21
111,1.667049683584665e-05,19
112,1.5003447152217575e-05,19
113,1.3503102437084635e-05,21
114,1.215279219346499e-05,20
115,1.0937512974207309e-05,21
116,9.8437616768976e-06,19
117,8.85938550920784e-06,19
118,7.973446958242647e-06,21
119,7.176102262418382e-06,21
120,6.458492036287566e-06,19
121,5.812642832614401e-06,26
122,5.231378549463983e-06,19
123,4.708240694428767e-06,23
124,4.237416624919277e-06,19
125,3.8136749624939625e-06,19
126,3.4323074662445663e-06,19
127,3.089076719531292e-06,21
128,2.780169047644776e-06,21
129,2.502152142813685e-06,19
130,2.2519369284879076e-06,19
131,2.0267432356835258e-06,21
132,1.8240689121373777e-06,19
133,1.6416620209902533e-06,23
134,1.47749581880241e-06,21
135,1.3297462368999646e-06,19
136,1.1967716131433548e-06,23
137,1.0770944518512238e-06,21
138,9.693850067105103e-07,19
139,8.724465061504816e-07,19
140,7.852018555354334e-07,23
141,7.066816700707079e-07,21
142,6.360135029748193e-07,19
143,5.724121527883597e-07,23
144,5.151709374651148e-07,21
145,4.636538437630122e-07,25
146,4.172884593423021e-07,23
147,3.7555961340807187e-07,19
148,3.38003652178287e-07,21
149,3.042032870048672e-07,19
150,2.737829583043805e-07,25
151,2.46404662451738e-07,21
152,2.2176419611774634e-07,29
153,1.9958777652817616e-07,22
154,1.796289987865407e-07,21
155,1.6166609895229556e-07,19
156,1.4549948912367938e-07,23
157,1.3094954010028914e-07,21
158,1.1785458609026023e-07,21
159,1.060691274812342e-07,19
160,9.546221479972417e-08,21
161,8.591599343077405e-08,19
162,7.73243939988788e-08,23
163,6.959195464339984e-08,21
164,6.263275920126432e-08,27
165,5.636948330334235e-08,23
166,5.0732535061825956e-08,21
167,4.565928146682552e-08,21
168,4.109335338675635e-08,21
169,3.6984018070285174e-08,21
170,3.3285616263256657e-08,21
171,2.995705461472653e-08,21
172,2.6961349153253877e-08,23
173,2.426521428233741e-08,22
174,2.183869285410367e-08,21
175,1.9654823546488842e-08,23
176,1.7689341103022116e-08,19
177,1.5920406992719904e-08,19
178,1.4328366271243453e-08,31
179,1.2895529533096806e-08,32
180,1.1605976624196046e-08,19
181,1.0445379006185362e-08,21
182,9.400840994544524e-09,23
183,8.460756983907913e-09,19
184,7.614681329926043e-09,19
185,6.853213108115597e-09,19
186,6.167891752895116e-09,21
187,5.551102688627907e-09,21
188,4.995992508582958e-09,23
189,4.496393257724662e-09,19
190,4.046754042974499e-09,23
191,3.6420786386770487e-09,22
192,3.277870863627186e-09,19
193,2.9500837328555463e-09,19
194,2.6550752707521497e-09,19
195,2.3895676548590927e-09,21
196,2.1506108005553415e-09,23
197,1.9355497204998073e-09,19
198,1.741994770654287e-09,27
199,1.567795226975477e-09,23
